subject,rt,stim,se,category,response
11,1594,9620.jpg,81,NegativeNonsocial,1
11,1208,9253.jpg,81,NegativeSocial,1
11,1005,9220.jpg,81,NegativeSocial,1
11,2230,8510.jpg,81,PositiveNonsocial,0
11,1176,9421.jpg,81,NegativeSocial,1
11,1901,9830.jpg,81,NegativeNonsocial,1
11,1717,2593.jpg,81,NeutralSocial,0
11,3146,2579.jpg,81,NeutralSocial,1
11,1807,2165.jpg,81,PositiveSocial,1
11,5498,2597.jpg,81,NeutralSocial,0
12,5404,9140.jpg,143,NegativeNonsocial,1
12,2740,9911.jpg,143,NegativeNonsocial,1
12,3397,3350.jpg,143,NegativeSocial,1
12,1893,2206.jpg,143,NeutralSocial,1
12,1944,7235.jpg,143,NeutralNonsocial,1
12,5391,9630.jpg,143,NegativeNonsocial,1
12,4795,7211.jpg,143,NeutralNonsocial,1
12,1585,2593.jpg,143,NeutralSocial,1
12,3699,3230.jpg,143,NegativeSocial,1
12,1267,6150.jpg,143,NeutralNonsocial,1
12,7858,7150.jpg,143,NeutralNonsocial,1
12,3719,8420.jpg,143,PositiveSocial,1
12,3503,1440.jpg,143,PositiveNonsocial,1
12,2178,1270.jpg,143,NegativeNonsocial,1
12,3679,2375.1.jpg,143,NegativeSocial,1
12,4443,7034.jpg,143,NeutralNonsocial,0
12,6301,2050.jpg,143,PositiveSocial,1
12,1923,1811.jpg,143,PositiveNonsocial,1
12,10629,5760.jpg,143,PositiveNonsocial,0
12,7028,2398.jpg,143,PositiveSocial,1
12,1801,7460.jpg,143,PositiveNonsocial,1
12,12062,8496.jpg,143,PositiveSocial,1
12,2153,2388.jpg,143,PositiveSocial,1
12,2754,1710.jpg,143,PositiveNonsocial,1
12,4785,2703.jpg,143,NegativeSocial,0
12,2390,2393.jpg,143,NeutralSocial,1
12,3181,7506.jpg,143,NeutralSocial,1
12,1993,2340.jpg,143,PositiveSocial,1
12,3043,9560.jpg,143,NegativeNonsocial,1
12,4303,2595.jpg,143,NeutralSocial,1
12,2170,7010.jpg,143,NeutralNonsocial,1
12,1928,8510.jpg,143,PositiveNonsocial,1
12,10253,2210.jpg,143,NeutralSocial,1
12,7717,9253.jpg,143,NegativeSocial,1
12,8103,9561.jpg,143,NegativeNonsocial,1
12,3404,2209.jpg,143,PositiveSocial,1
12,4241,9280.jpg,143,NegativeNonsocial,1
12,4851,9421.jpg,143,NegativeSocial,1
12,5219,7508.jpg,143,PositiveNonsocial,1
12,14357,9220.jpg,143,NegativeSocial,1
12,19623,9290.jpg,143,NegativeNonsocial,1
12,2354,2221.jpg,143,NeutralSocial,1
12,2081,7501.jpg,143,PositiveNonsocial,1
12,2399,2550.jpg,143,PositiveSocial,1
12,2924,2095.jpg,143,NegativeSocial,1
12,27224,7002.jpg,143,NeutralNonsocial,1
12,4003,2446.jpg,143,NeutralSocial,0
12,4304,2383.jpg,143,NeutralSocial,1
12,3416,2224.jpg,143,PositiveSocial,0
