Subject,Group ,Score,Stimulus,Session
8,0,0.5625,CL,1
8,0,1.125,CL,2
8,0,2.9375,CL,3
8,0,3.6875,CL,4
8,0,4.5625,CL,5
8,0,4.5625,CL,6
8,0,5.625,CL,7
8,0,6.75,CL,8
8,0,6,CL,9
8,0,6,CL,10
8,0,6.375,CL,11
8,0,8,CL,12
8,0,8.375,CL,13
8,0,9.375,CL,14
8,0,6.3125,CL,15
8,0,8.25,CL,16
9,0,1.75,C,1
9,0,3.625,C,2
9,0,2.375,C,3
9,0,3.25,C,4
9,0,3.375,C,5
9,0,2.375,C,6
9,0,2.125,C,7
9,0,1.75,C,8
9,0,1,C,9
9,0,1.125,C,10
9,0,0.75,C,11
9,0,0.375,C,12
9,0,0.25,C,13
9,0,2,C,14
9,0,0.625,C,15
9,0,0.125,C,16
9,0,1.75,L,1
9,0,2.125,L,2
9,0,0.75,L,3
9,0,1.875,L,4
9,0,1.375,L,5
9,0,1.125,L,6
9,0,1,L,7
9,0,0.625,L,8
9,0,0,L,9
9,0,0.625,L,10
9,0,0.25,L,11
9,0,0.25,L,12
9,0,0.875,L,13
9,0,0.875,L,14
9,0,0.25,L,15
9,0,0.25,L,16
9,0,2.25,CL,1
9,0,3.0625,CL,2
9,0,2.625,CL,3
9,0,4.125,CL,4
9,0,4.4375,CL,5
9,0,3,CL,6
9,0,2.5,CL,7
9,0,2.5,CL,8
9,0,2.25,CL,9
9,0,2.625,CL,10
9,0,2.1875,CL,11
9,0,2.3125,CL,12
9,0,2.5625,CL,13
9,0,2.875,CL,14
9,0,2.0625,CL,15
9,0,1.5,CL,16
10,0,3.75,C,1
10,0,3,C,2
10,0,2.5,C,3
10,0,0.25,C,4
10,0,6,C,5
10,0,2.125,C,6
10,0,3.875,C,7
10,0,2.125,C,8
10,0,1.25,C,9
10,0,1.125,C,10
10,0,0.625,C,11
10,0,0,C,12
10,0,1.625,C,13
10,0,1.25,C,14
10,0,3.875,C,15
10,0,1.5,C,16
10,0,2.125,L,1
10,0,2.125,L,2
10,0,4.875,L,3
10,0,3.125,L,4
10,0,7.25,L,5
10,0,4.25,L,6
10,0,2.375,L,7
10,0,1.75,L,8
10,0,1,L,9
10,0,2.875,L,10
10,0,0.875,L,11
10,0,0.5,L,12
10,0,0.625,L,13
10,0,2.375,L,14
10,0,1.5,L,15
10,0,2,L,16
10,0,3.375,CL,1
10,0,3.25,CL,2
10,0,4.5625,CL,3
10,0,5.625,CL,4
10,0,8.4375,CL,5
10,0,6.6875,CL,6
10,0,7.9375,CL,7
10,0,6.25,CL,8
10,0,6.625,CL,9
10,0,7,CL,10
10,0,7.6875,CL,11
10,0,7.4375,CL,12
10,0,7.4375,CL,13
10,0,9.8125,CL,14
10,0,9.0625,CL,15
10,0,9.3125,CL,16
11,0,2.625,C,1
11,0,4.875,C,2
11,0,2.25,C,3
11,0,3.5,C,4
11,0,2.375,C,5
11,0,4.5,C,6
11,0,4.25,C,7
11,0,4.125,C,8
11,0,3.875,C,9
11,0,3.5,C,10
11,0,6.125,C,11
11,0,4,C,12
11,0,2.375,C,13
11,0,3,C,14
11,0,5,C,15
11,0,1.375,C,16
11,0,1.125,L,1
11,0,3.375,L,2
11,0,1.875,L,3
11,0,2.625,L,4
11,0,2,L,5
11,0,1.25,L,6
11,0,4.25,L,7
11,0,1.75,L,8
11,0,4.125,L,9
11,0,2,L,10
11,0,2.25,L,11
11,0,2.125,L,12
11,0,2.125,L,13
11,0,0.875,L,14
11,0,0.375,L,15
11,0,1.5,L,16
11,0,2.6875,CL,1
11,0,5.8125,CL,2
11,0,3.6875,CL,3
11,0,5.25,CL,4
11,0,5.8125,CL,5
11,0,7.8125,CL,6
11,0,6.5625,CL,7
11,0,11.1875,CL,8
11,0,12.3125,CL,9
11,0,9.9375,CL,10
11,0,9.25,CL,11
11,0,7.4375,CL,12
11,0,8.75,CL,13
11,0,8.875,CL,14
11,0,8.125,CL,15
11,0,8.9375,CL,16
12,1,2.875,C,1
12,1,0.875,C,2
