pnum,year,landmark,DE,DB
32,2,Tisch Library,0.054467832,0.012457935
33,2,Brown & Brew,0.117150775,-0.019915539
33,2,Campus Center,0.095544045,-0.005239855
33,2,Carmichael Hall,0.161227318,-0.161227318
33,2,Dewick,0.089142197,-0.049212141
33,2,Dowling Hall,0.118071264,-0.023574398
33,2,Goddard Chapel,0.049982184,0.016791818
33,2,Olin Center,0.076964038,-0.070972616
33,2,Tisch Library,0.083168591,-0.002970637
35,2,Brown & Brew,0.240015177,-0.032201254
35,2,Campus Center,0.165191686,0.056760145
35,2,Carmichael Hall,0.078671066,0.046201254
35,2,Dewick,0.166686902,0.019645002
35,2,Dowling Hall,0.158425602,0.158425602
35,2,Goddard Chapel,0.137077532,0.137077532
35,2,Olin Center,0.119886506,0.100170241
35,2,Tisch Library,0.178281755,0.108457935
36,2,Brown & Brew,0.123066315,0.116370175
36,2,Campus Center,0.07408578,0.017045859
36,2,Carmichael Hall,0.071872649,-0.059798746
36,2,Dewick,0.098321346,-0.059212141
36,2,Dowling Hall,0.091016166,0.036425602
36,2,Goddard Chapel,0.082471132,0.030791818
36,2,Olin Center,0.093749258,0.036455955
36,2,Tisch Library,0.079687232,0.044457935
37,2,Brown & Brew,0.137447707,-0.053629825
37,2,Campus Center,0.13212867,0.059903002
37,2,Carmichael Hall,0.091291983,-0.062655889
37,2,Dewick,0.154440779,0.047359287
37,2,Dowling Hall,0.138425602,0.138425602
37,2,Goddard Chapel,0.141770373,0.077648961
37,2,Olin Center,0.136197954,0.095598812
37,2,Tisch Library,0.142177499,0.012457935
38,2,Brown & Brew,0.074178159,-0.019629825
38,2,Campus Center,0.088729792,0.023045859
38,2,Carmichael Hall,0.12821643,-0.099513032
38,2,Dewick,0.096409766,-0.075497855
38,2,Dowling Hall,0.127284065,0.003282745
38,2,Goddard Chapel,0.079809964,-0.016351039
38,2,Olin Center,0.09882415,-0.071258331
38,2,Tisch Library,0.06799802,-0.039256351
40,2,Brown & Brew,0.194890135,-0.004486968
40,2,Campus Center,0.139656879,-0.010668426
40,2,Carmichael Hall,0.130891455,-0.122370175
40,2,Dewick,0.192981194,-0.186354998
40,2,Dowling Hall,0.120712636,-0.066717255
40,2,Goddard Chapel,0.079821841,-0.075779611
40,2,Olin Center,0.126066645,-0.063829759
40,2,Tisch Library,0.126170241,-0.113542065
41,2,Brown & Brew,0.17378159,0.105798746
41,2,Campus Center,0.099015506,0.043045859
41,2,Carmichael Hall,0.177165292,0.011344111
41,2,Dewick,0.154691521,0.042787859
41,2,Dowling Hall,0.153320356,0.092425602
41,2,Goddard Chapel,0.150310129,0.134791818
41,2,Olin Center,0.304153085,0.236170241
41,2,Tisch Library,0.136052128,0.132743649
43,2,Brown & Brew,0.152266579,0.148084461
43,2,Campus Center,0.179105906,0.153045859
43,2,Carmichael Hall,0.0850419,-0.032941603
43,2,Dewick,0.112118773,0.035073573
43,2,Dowling Hall,0.12752227,0.072711316
43,2,Goddard Chapel,0.109680633,0.082791818
43,2,Olin Center,0.13999868,0.114455955
43,2,Tisch Library,0.092961399,0.064743649
44,2,Brown & Brew,0.141660838,0.027227318
44,2,Campus Center,0.09395843,-0.007811283
44,2,Carmichael Hall,0.098424282,-0.004084461
44,2,Dewick,0.142972616,0.07021643
44,2,Dowling Hall,0.088843946,-0.024145826
