YOUTH1,YOUTH2,YOUTH3,YOUTH4,YOUTH5,YOUTH6,YOUTH7,YOUTH8,YOUTH9,YOUTH10,YOUTH11,YOUTH12,YOUTH13,YOUTH14,YOUTH15,YOUTH16,YOUTH17,YOUTH18,YOUTH19,YOUTH20,YOUTH21,YOUTH22,YOUTH23,YOUTH24,YOUTH25,YOUTH26,YOUTH27,YOUTH28,YOUTH29,YOUTH30,YOUTH31,YOUTH32,YOUTH33,YOUTH34,YOUTH35,YOUTH36,YOUTH37,YOUTH38,YOUTH39,YOUTH40,YOUTH41,YOUTH42,YOUTH43,INVOLVEMENT,SOCIAL_SKILLS,FAMILY_STRENGTH,SCHOOL_STRENGTH,SOCIAL_SUPPORT,POSITIVE_OUTLOOK,TOTAL_RESILIENCY
1.00,1.00,1.00,1.00,1.00,1.00,5.00,5.00,5.00,3.00,5.00,4.00,4.00,1.00,0.00,2.00,0.00,0.00,2.00,0.00,3.00,4.00,0.00,4.00,2.00,2.00,3.00,3.00,4.00,4.00,4.00,1.00,3.00,3.00,1.00,0.00,0.00,4.00,0.00,1.00,0.00,2.00,2.00,6.00,27.00,16.00,14.00,20.00,7.00,90.00
4.00,5.00,1.00,1.00,3.00,5.00,5.00,5.00,5.00,5.00,2.00,4.00,1.00,4.00,4.00,1.00,0.00,0.00,4.00,1.00,4.00,3.00,4.00,2.00,0.00,4.00,2.00,1.00,4.00,1.00,4.00,0.00,4.00,0.00,3.00,4.00,0.00,4.00,0.00,4.00,2.00,0.00,0.00,19.00,26.00,26.00,9.00,20.00,10.00,110.00
3.00,1.00,1.00,1.00,1.00,1.00,4.00,2.00,3.00,5.00,3.00,3.00,3.00,3.00,0.00,0.00,0.00,0.00,3.00,2.00,4.00,3.00,2.00,3.00,2.00,3.00,4.00,3.00,4.00,2.00,4.00,2.00,3.00,3.00,0.00,3.00,3.00,3.00,2.00,0.00,2.00,3.00,2.00,8.00,20.00,20.00,15.00,24.00,10.00,97.00
5.00,5.00,1.00,1.00,4.00,5.00,5.00,3.00,5.00,3.00,5.00,2.00,4.00,4.00,1.00,3.00,0.00,2.00,3.00,3.00,3.00,3.00,4.00,0.00,1.00,2.00,2.00,2.00,4.00,2.00,0.00,4.00,1.00,4.00,0.00,4.00,4.00,4.00,4.00,2.00,2.00,3.00,3.00,21.00,23.00,30.00,7.00,23.00,15.00,119.00
2.00,1.00,5.00,1.00,2.00,3.00,3.00,3.00,5.00,3.00,5.00,5.00,1.00,3.00,0.00,3.00,0.00,3.00,1.00,0.00,2.00,2.00,0.00,3.00,2.00,1.00,4.00,4.00,4.00,3.00,1.00,3.00,3.00, ,0.00,1.00,1.00,3.00,1.00,2.00,3.00,3.00,4.00,14.00,24.00,15.00,14.00,16.00,12.00,95.00
4.00,1.00,4.00,1.00,4.00,4.00,4.00,3.00,4.00,4.00,4.00,4.00,3.00,3.00,3.00,3.00,3.00,2.00,3.00,3.00,3.00,3.00,3.00,3.00,2.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,2.00,3.00,3.00,18.00,23.00,32.00,14.00,27.00,14.00,128.00
4.00,1.00,5.00,5.00,1.00,3.00,5.00,5.00,5.00,3.00,5.00,4.00,4.00,4.00,2.00,3.00,1.00,4.00,4.00,4.00,3.00,4.00,3.00,4.00,3.00,4.00,2.00,0.00,4.00,2.00,4.00,3.00,2.00,3.00,0.00,4.00,3.00,4.00,4.00,2.00,2.00,4.00,4.00,19.00,27.00,36.00,13.00,25.00,16.00,136.00
4.00,4.00,1.00,1.00,1.00,3.00,4.00,3.00,4.00,4.00,3.00,2.00,4.00,1.00,0.00,1.00,1.00,1.00,4.00,1.00,3.00,3.00,1.00,3.00,1.00,3.00,1.00,1.00,3.00, , , , , , , , , , , , , , ,14.00,20.00,20.00,9.00,3.00,0.00,66.00
3.00,1.00,3.00,3.00,3.00,3.00,1.00,5.00,3.00,5.00,5.00,3.00,4.00,3.00,0.00,4.00,0.00,3.00,4.00,4.00,4.00,4.00,3.00,0.00,2.00,1.00,4.00,4.00,0.00,1.00,3.00,3.00,0.00,4.00,0.00,3.00,0.00,4.00,2.00,2.00,0.00,4.00,3.00,16.00,22.00,33.00,11.00,14.00,12.00,108.00
4.00,5.00,1.00,1.00,3.00,5.00,5.00,4.00,5.00,5.00,5.00,4.00,4.00,2.00,4.00,4.00,4.00,4.00,0.00,1.00,4.00,4.00,0.00,0.00,0.00,3.00,4.00,3.00,4.00,4.00,0.00,4.00,2.00,4.00,4.00,4.00,0.00,3.00,3.00,4.00,4.00,4.00,4.00,19.00,28.00,31.00,10.00,26.00,18.00,132.00
3.00,1.00,1.00,1.00,3.00,1.00,4.00,3.00,5.00,5.00,4.00,2.00,4.00, ,0.00,4.00,0.00,4.00,4.00,2.00,1.00,0.00,0.00,2.00,2.00,1.00,3.00,2.00,3.00,1.00,0.00,1.00,3.00,4.00,0.00,4.00,0.00,3.00,2.00,0.00,2.00,1.00,3.00,10.00,23.00,19.00,10.00,16.00,8.00,86.00
4.00,1.00,1.00,1.00,1.00,3.00,4.00,5.00,5.00,5.00,4.00,3.00,2.00,4.00,4.00,4.00,4.00,4.00,3.00,4.00,4.00,4.00,0.00,4.00,3.00,2.00,4.00,3.00,4.00,3.00,0.00,3.00,4.00,4.00,4.00,4.00,1.00,3.00,4.00,1.00,4.00,4.00,4.00,11.00,26.00,37.00,16.00,27.00,16.00,133.00
5.00,1.00,1.00,1.00,1.00,1.00,5.00,4.00,4.00,5.00,4.00,3.00,4.00,4.00,4.00,4.00,1.00,0.00,4.00,4.00,4.00,4.00,0.00,4.00,3.00,4.00,4.00,4.00,4.00,3.00,0.00,3.00,3.00,4.00,2.00,4.00,2.00,4.00,4.00,3.00,3.00,4.00,4.00,10.00,25.00,33.00,19.00,25.00,18.00,130.00
2.00,1.00,5.00,5.00,2.00,1.00,4.00,4.00,4.00,4.00,5.00,4.00,4.00,4.00,4.00,4.00,4.00,3.00,3.00,2.00,4.00,4.00,2.00,0.00,2.00,4.00,2.00,3.00,3.00,3.00,2.00,3.00,2.00,4.00,4.00,4.00,4.00,4.00,2.00,2.00,3.00,4.00,4.00,16.00,25.00,38.00,11.00,29.00,15.00,134.00
1.00,3.00,1.00,1.00,1.00,1.00,3.00,2.00,4.00,4.00,4.00,4.00,2.00,4.00,0.00,4.00,0.00,0.00,3.00,0.00,0.00,3.00,1.00,0.00,2.00,3.00,3.00,3.00,4.00,2.00,3.00,3.00,3.00,4.00,0.00,3.00,2.00,3.00,3.00,3.00,1.00,2.00,3.00,8.00,21.00,17.00,11.00,24.00,12.00,93.00
3.00,1.00,1.00,2.00,2.00,1.00,4.00,4.00,4.00,3.00,3.00,3.00,4.00,4.00,3.00,0.00,1.00,0.00,0.00,1.00,3.00,3.00,2.00,0.00,1.00,3.00,4.00,4.00,3.00,0.00,1.00,3.00,0.00,1.00,2.00,2.00,0.00,0.00,3.00,0.00,3.00,4.00,4.00,10.00,21.00,21.00,12.00,12.00,10.00,86.00
4.00,1.00,1.00,1.00,1.00,1.00,4.00,4.00,4.00,3.00,3.00,2.00,4.00,2.00,2.00,2.00,2.00,1.00,3.00,2.00,1.00,2.00,3.00,0.00,2.00,4.00,4.00,3.00,1.00,2.00,0.00,0.00,0.00,0.00,3.00,1.00,0.00,1.00,3.00,2.00,2.00,1.00,3.00,9.00,20.00,24.00,13.00,7.00,9.00,82.00
3.00,1.00,1.00,1.00,1.00,1.00,4.00,3.00,3.00,3.00,3.00,1.00,4.00,2.00,2.00,1.00,3.00,0.00,0.00,0.00,3.00,3.00,2.00,3.00,0.00,2.00,3.00,2.00,4.00,3.00,1.00,3.00,3.00,4.00,4.00,3.00,3.00,2.00,2.00,0.00,2.00,2.00,2.00,8.00,17.00,20.00,10.00,28.00,8.00,91.00
4.00,1.00,1.00,1.00,1.00,1.00,5.00,3.00,3.00,1.00,3.00,1.00,2.00,0.00,0.00,2.00,0.00,4.00,4.00,1.00, ,4.00,0.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,2.00,0.00,4.00,0.00,4.00,2.00,3.00,2.00,4.00,4.00,9.00,16.00,17.00,20.00,26.00,15.00,103.00
5.00,4.00,1.00, ,1.00,1.00,4.00,4.00,4.00,5.00,4.00,4.00,4.00,4.00,0.00,0.00,0.00,1.00,4.00,0.00,4.00,4.00,3.00,4.00,0.00,4.00,4.00,4.00,4.00,4.00,0.00,4.00,4.00,4.00, ,1.00,2.00,4.00,4.00,4.00,4.00,4.00,4.00,12.00,25.00,24.00,16.00,23.00,20.00,120.00
4.00,1.00,1.00,1.00,3.00,3.00,5.00,5.00,5.00,5.00,4.00,3.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,2.00,4.00,4.00,4.00,3.00,3.00,4.00,4.00,4.00,4.00,4.00,0.00,3.00,4.00,4.00,4.00,4.00,3.00,4.00, ,3.00,4.00,4.00,4.00,13.00,27.00,42.00,18.00,30.00,15.00,145.00
3.00,4.00,5.00,5.00,4.00,1.00,4.00,4.00,4.00,3.00,4.00,4.00,1.00,1.00,0.00,2.00,1.00,1.00,3.00,1.00,1.00,0.00,0.00,2.00,3.00,2.00,2.00,0.00,3.00,1.00,4.00,1.00,2.00,1.00,0.00,2.00,4.00,3.00,2.00,0.00,3.00,2.00,2.00,22.00,23.00,11.00,9.00,18.00,10.00,93.00
3.00,1.00,1.00,2.00,2.00,3.00,4.00,3.00,4.00,3.00,3.00,1.00,4.00,1.00,1.00,2.00,1.00,4.00,4.00,1.00,2.00,3.00,3.00,2.00,1.00,3.00,1.00,1.00,3.00,1.00,3.00,1.00,1.00,0.00,0.00,1.00,0.00,4.00,2.00,1.00,0.00,0.00,0.00,12.00,18.00,26.00,8.00,10.00,7.00,81.00
5.00,1.00,1.00,1.00,2.00,1.00,5.00,3.00,4.00,4.00,4.00,3.00,4.00,4.00,4.00,4.00,4.00,1.00,2.00,3.00,3.00,3.00,0.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,3.00,4.00,3.00,3.00,4.00,4.00,4.00,4.00,2.00,3.00,4.00,4.00,11.00,23.00,32.00,20.00,33.00,17.00,136.00
4.00,5.00,1.00,1.00,3.00,5.00,4.00,4.00,4.00,5.00,5.00,4.00,4.00,1.00,0.00,2.00,0.00,2.00,3.00,4.00,4.00,4.00,4.00,2.00,3.00,4.00,4.00,4.00,4.00,2.00,4.00,4.00,1.00,3.00,0.00,4.00,0.00,4.00,4.00,2.00,2.00,4.00, ,19.00,26.00,28.00,17.00,22.00,16.00,128.00
5.00,2.00,1.00,1.00,3.00,3.00,1.00,1.00,2.00,1.00,1.00,2.00,2.00,4.00,0.00,3.00,0.00,4.00,1.00,1.00,4.00,4.00,2.00,2.00,2.00,4.00,4.00,2.00,3.00,1.00,4.00,4.00,3.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,3.00,4.00,4.00,15.00,8.00,25.00,14.00,31.00,19.00,112.00
2.00,1.00,1.00,1.00,2.00,1.00,5.00,4.00,5.00,5.00,4.00,5.00,4.00,3.00,2.00,3.00,2.00,1.00,3.00,1.00,3.00,4.00,2.00,4.00,3.00,3.00,4.00,4.00,4.00,3.00,1.00,4.00,3.00,4.00,3.00,4.00,0.00,4.00,4.00,4.00,4.00,4.00,4.00,8.00,28.00,28.00,18.00,26.00,20.00,128.00
5.00,3.00,1.00,4.00,3.00,2.00,5.00,4.00,5.00,3.00,5.00,3.00,4.00,2.00,4.00,0.00,2.00,4.00,3.00,1.00,4.00,2.00,4.00,2.00,2.00,3.00,3.00,4.00,3.00,3.00,4.00,3.00,2.00,2.00,1.00,0.00,0.00,2.00,2.00,1.00,2.00,4.00,2.00,18.00,25.00,30.00,14.00,18.00,11.00,116.00
2.00,1.00,2.00,1.00,1.00,1.00,2.00,3.00,3.00,2.00,4.00,2.00,4.00,1.00,4.00,1.00,4.00,1.00,1.00,0.00,1.00,2.00,0.00,1.00,2.00,0.00,1.00,2.00,1.00,1.00,0.00,1.00,2.00,1.00,3.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,8.00,16.00,19.00,6.00,10.00,2.00,61.00
2.00,2.00,4.00,2.00,4.00,4.00, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,18.00,0.00,0.00,0.00,0.00,0.00,18.00
5.00,3.00,5.00,5.00,5.00,3.00,2.00,5.00,3.00,4.00,5.00,5.00,4.00,4.00,2.00,4.00,0.00,1.00,4.00,0.00,0.00,3.00,3.00,4.00,4.00,4.00,4.00,2.00,4.00,3.00,4.00,4.00,3.00,4.00,1.00,4.00,4.00,4.00,3.00,4.00,3.00,3.00,3.00,26.00,24.00,25.00,18.00,31.00,17.00,141.00
3.00,3.00,3.00,3.00,3.00,3.00,4.00,4.00,4.00,4.00,4.00,3.00,4.00,2.00,2.00,1.00,3.00,3.00,3.00,3.00,3.00,2.00,2.00,0.00,2.00,1.00,2.00,3.00,2.00,1.00,4.00,3.00,2.00,3.00,3.00,3.00,1.00,3.00,3.00,2.00,2.00,3.00,3.00,18.00,23.00,28.00,8.00,22.00,13.00,112.00
5.00,5.00,1.00,1.00,3.00,4.00,3.00,3.00,3.00,4.00,4.00,3.00,4.00,4.00,4.00,4.00,4.00,3.00,1.00,2.00,4.00,3.00,4.00,3.00,2.00,4.00,3.00,4.00,2.00,3.00,1.00,3.00,2.00,4.00,4.00,4.00,2.00,4.00,3.00,3.00,3.00,2.00,2.00,19.00,20.00,37.00,16.00,25.00,15.00,132.00
3.00,1.00,4.00,5.00,1.00,1.00,4.00,5.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,2.00,2.00,4.00,4.00,3.00,0.00,2.00,3.00,3.00,4.00,0.00,4.00,2.00,4.00,4.00,4.00,4.00,4.00,4.00,0.00,4.00,2.00,3.00,3.00,4.00,3.00,15.00,25.00,35.00,12.00,30.00,16.00,133.00
5.00,2.00,1.00,1.00,5.00,1.00,4.00,3.00,4.00,4.00,3.00,3.00,4.00,4.00,0.00,4.00,0.00,3.00,3.00,2.00,4.00,4.00,0.00,4.00,4.00,4.00,4.00,4.00,4.00,2.00,0.00,4.00,3.00,4.00,4.00,4.00,0.00,4.00,2.00,0.00,1.00,3.00,2.00,15.00,21.00,28.00,20.00,25.00,10.00,119.00
5.00,5.00,3.00,5.00,5.00,3.00,4.00,5.00,4.00,3.00,5.00,3.00,2.00,0.00,3.00,0.00,4.00,2.00,2.00,2.00,4.00,3.00,0.00,0.00,0.00,0.00,2.00,2.00,3.00,2.00,3.00,3.00,3.00,1.00,4.00,3.00,0.00,4.00,2.00,0.00,2.00,4.00,3.00,26.00,24.00,22.00,4.00,22.00,12.00,110.00
4.00,5.00,4.00,5.00,2.00,4.00,5.00,3.00,3.00,4.00,4.00,3.00,2.00,3.00,0.00,3.00,0.00,4.00,4.00,0.00,4.00,3.00,2.00,1.00,1.00,0.00,1.00,0.00,2.00,2.00,4.00,3.00,2.00,4.00,4.00,4.00,2.00,4.00,2.00,2.00,2.00,3.00,2.00,24.00,22.00,25.00,3.00,27.00,13.00,114.00
3.00,1.00,1.00,5.00,1.00,1.00,3.00,2.00,4.00,5.00,5.00,1.00,3.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,4.00,3.00,2.00,0.00,0.00,1.00,0.00,2.00,4.00,0.00,0.00,0.00,0.00,12.00,20.00,10.00,0.00,13.00,6.00,61.00
5.00,3.00,1.00,1.00,1.00,1.00,3.00,3.00,3.00,3.00,1.00,3.00,4.00, ,1.00,0.00,1.00,0.00,2.00,0.00,4.00,0.00,0.00,0.00,2.00,0.00,0.00,1.00,4.00,3.00,0.00,2.00,0.00,2.00,2.00,3.00,0.00,4.00,2.00,0.00,2.00,0.00,0.00,12.00,16.00,12.00,3.00,16.00,8.00,67.00
5.00,1.00,3.00,3.00,1.00,1.00,3.00,5.00,5.00,5.00,3.00,1.00,2.00,4.00,1.00,4.00,2.00,0.00,4.00,4.00,4.00,4.00,0.00,4.00,4.00,4.00,2.00,4.00,4.00,0.00,0.00,4.00,0.00,4.00,4.00,4.00,0.00,4.00,0.00,2.00,0.00,4.00,0.00,14.00,22.00,29.00,18.00,20.00,10.00,113.00
4.00,4.00,5.00,5.00,5.00,1.00,5.00,4.00,4.00,5.00,5.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,4.00,4.00,4.00,4.00,1.00,4.00,4.00,0.00,0.00,4.00,0.00,0.00,4.00,3.00,0.00,1.00,0.00,4.00,24.00,27.00,4.00,12.00,17.00,8.00,92.00
5.00,4.00,3.00,3.00,4.00,3.00,3.00,4.00,4.00,4.00,4.00,3.00,4.00,2.00,4.00,2.00,4.00,0.00,2.00,4.00,2.00,4.00,2.00,0.00,0.00,0.00,0.00,4.00,4.00,0.00,4.00,4.00,4.00,4.00,4.00,4.00,0.00,4.00,4.00,4.00,4.00,4.00,4.00,22.00,22.00,30.00,4.00,28.00,20.00,126.00
2.00,1.00,1.00,1.00,1.00,1.00,5.00,4.00,4.00,4.00,4.00,2.00,4.00,3.00,2.00,3.00,2.00,0.00,1.00,3.00,4.00,3.00,0.00,2.00,1.00,1.00,3.00,3.00,3.00,2.00,0.00,0.00,0.00,3.00,2.00,3.00,0.00,1.00,3.00,1.00,2.00,3.00,3.00,7.00,23.00,25.00,10.00,13.00,10.00,88.00
4.00,5.00,1.00,1.00,1.00,1.00,4.00,4.00,4.00,5.00,4.00,3.00,2.00,4.00,4.00,4.00,4.00,1.00,3.00,2.00,2.00,3.00,1.00,2.00,1.00,3.00,4.00,2.00,4.00,2.00,2.00,2.00,2.00,4.00,4.00,4.00,4.00,4.00,3.00,3.00,3.00,3.00,3.00,13.00,24.00,30.00,12.00,28.00,16.00,123.00
5.00,5.00,1.00,1.00,5.00,3.00,4.00,4.00,4.00,5.00,4.00,5.00,4.00,4.00,0.00,4.00,0.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,2.00,4.00,2.00,4.00,4.00,4.00,4.00,4.00,4.00,1.00,4.00,4.00,4.00,4.00,2.00,4.00,4.00,4.00,20.00,26.00,36.00,16.00,33.00,18.00,149.00
5.00,5.00,1.00,2.00,3.00,1.00,5.00,5.00,4.00,3.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,3.00,2.00,3.00,4.00,3.00,4.00,3.00,4.00,3.00,4.00,4.00,4.00,3.00,4.00,4.00,4.00,4.00,4.00,4.00,2.00,4.00,4.00,4.00,3.00,4.00,4.00,17.00,25.00,39.00,18.00,33.00,19.00,151.00
5.00,1.00,1.00,1.00,2.00,2.00,5.00,5.00,4.00,5.00,3.00,3.00,3.00,4.00,1.00,4.00,1.00,2.00,4.00,2.00,4.00,3.00,1.00,3.00,4.00,3.00,4.00,4.00,4.00,3.00,0.00,2.00,2.00,4.00,1.00,2.00,1.00,4.00,4.00,2.00,3.00,4.00,4.00,12.00,25.00,29.00,18.00,19.00,17.00,120.00
5.00,1.00,5.00,5.00,5.00,1.00,5.00,5.00,4.00,4.00,3.00, ,4.00,4.00,4.00,4.00,4.00,3.00,4.00,4.00,4.00,3.00,3.00,4.00,4.00,4.00,4.00,3.00,4.00,4.00,3.00,0.00,1.00,3.00,3.00,2.00,3.00,3.00,4.00, ,4.00,2.00,3.00,22.00,21.00,41.00,19.00,23.00,13.00,139.00
4.00,1.00,5.00,4.00,3.00,1.00,4.00,4.00,4.00,4.00,3.00,3.00,4.00,4.00,0.00,4.00,0.00,4.00,4.00,3.00,2.00,4.00,0.00,1.00,2.00,2.00,2.00,0.00,4.00,3.00,2.00,2.00,4.00,4.00,0.00,4.00,0.00,4.00,4.00,0.00,4.00,4.00,4.00,18.00,22.00,29.00,7.00,23.00,16.00,115.00
5.00,5.00,1.00,1.00,2.00,1.00,4.00,4.00,4.00,4.00,4.00,4.00,0.00,2.00,0.00,1.00,0.00,4.00,4.00,3.00,4.00,4.00,2.00,4.00,4.00,4.00,4.00,0.00,3.00,2.00,0.00,4.00,4.00,1.00,0.00,4.00,2.00,4.00,2.00,2.00,2.00,4.00,4.00,15.00,24.00,24.00,16.00,20.00,14.00,113.00
5.00,1.00,1.00,5.00,4.00,1.00,4.00,4.00,4.00,5.00,5.00,5.00,4.00,4.00,0.00,4.00,0.00,2.00,2.00,2.00,4.00,4.00,0.00,0.00,2.00,4.00,0.00,3.00,4.00,4.00,4.00,4.00,0.00,4.00,0.00,4.00,3.00,4.00,2.00,2.00,2.00,2.00,3.00,17.00,27.00,26.00,9.00,27.00,12.00,118.00
5.00,2.00,1.00,5.00,5.00,1.00,5.00,4.00,5.00,5.00,5.00,4.00,4.00,4.00,3.00,4.00,3.00,4.00,4.00,4.00,4.00,4.00,0.00,4.00,3.00,2.00,4.00,0.00,4.00,3.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,3.00,4.00,4.00,4.00,4.00,19.00,28.00,38.00,13.00,35.00,19.00,152.00
3.00,1.00,1.00,3.00,1.00,1.00,4.00,3.00,5.00,4.00,1.00,4.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,4.00,2.00,0.00,2.00,0.00,3.00,3.00,0.00,1.00,3.00,1.00,0.00,0.00,10.00,21.00,6.00,0.00,15.00,5.00,57.00
2.00,5.00,1.00,1.00,3.00,1.00,4.00,3.00,3.00,5.00,2.00,2.00,2.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,2.00,0.00,1.00,0.00,3.00,1.00,4.00,2.00,2.00,4.00,4.00,2.00,1.00,2.00,2.00,0.00,3.00,2.00,0.00,2.00,3.00,2.00,13.00,19.00,10.00,9.00,19.00,10.00,80.00
5.00,3.00,2.00,5.00,5.00,1.00,4.00,4.00,4.00,5.00,5.00,3.00,3.00,3.00,0.00,4.00,0.00,3.00,3.00, ,3.00,2.00,1.00,2.00,1.00,4.00,4.00,4.00,4.00,3.00,0.00,4.00,4.00,4.00,0.00,4.00,2.00,4.00,0.00,1.00,1.00,4.00,3.00,21.00,25.00,22.00,15.00,25.00,10.00,118.00
5.00,1.00,1.00,1.00,5.00,4.00,4.00,4.00,3.00,4.00,3.00,3.00,4.00,2.00,3.00,2.00,3.00,4.00,4.00,3.00,4.00,4.00,1.00,1.00,3.00,1.00,3.00,2.00,3.00,2.00,1.00,3.00,3.00,2.00,4.00,3.00,1.00,4.00,2.00,3.00,2.00,4.00,2.00,17.00,21.00,34.00,10.00,22.00,15.00,119.00
5.00,5.00,1.00,1.00,3.00,1.00,5.00,5.00,5.00,5.00,4.00,4.00,4.00,2.00,2.00,2.00,0.00,0.00,1.00,1.00,4.00,3.00,0.00,0.00,2.00,4.00,4.00,4.00,4.00,2.00,3.00,4.00,3.00,4.00,0.00,2.00,0.00,4.00,4.00,4.00,3.00,4.00,4.00,16.00,28.00,19.00,14.00,22.00,19.00,118.00
1.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,2.00,3.00,2.00,1.00,4.00,4.00,1.00,2.00,0.00,0.00,0.00,0.00,4.00,3.00,0.00,2.00,2.00,4.00,0.00,0.00,0.00,0.00,0.00,1.00,4.00,4.00,0.00,4.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,6.00,12.00,18.00,8.00,13.00,1.00,58.00
5.00,3.00,4.00,3.00,4.00,2.00,4.00,2.00,3.00,2.00,4.00,5.00,4.00,3.00,2.00,4.00,2.00,0.00,4.00,2.00,3.00,4.00,4.00,4.00,4.00,2.00,2.00,4.00,0.00,4.00,3.00,4.00,4.00,2.00,4.00,1.00,4.00,4.00,4.00,3.00,1.00,2.00,4.00,21.00,20.00,32.00,16.00,26.00,14.00,129.00
3.00,1.00,1.00,3.00,3.00,1.00,4.00,3.00,3.00,4.00,3.00,3.00,1.00,2.00,3.00,2.00,3.00,1.00,2.00,2.00,3.00,3.00,2.00,2.00, ,1.00,2.00,3.00,3.00,2.00,1.00,2.00,2.00,2.00,2.00,3.00,1.00,3.00,2.00,0.00,3.00,3.00,2.00,12.00,20.00,24.00,8.00,18.00,11.00,93.00
3.00,1.00,1.00,1.00,2.00,1.00,2.00,4.00,3.00,3.00,3.00,2.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,4.00,4.00,0.00,0.00,0.00,0.00,0.00,4.00,2.00,0.00,0.00,2.00,0.00,2.00,0.00,4.00,0.00,2.00,1.00,0.00,0.00,2.00,0.00,9.00,17.00,14.00,4.00,10.00,5.00,59.00
3.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,3.00,1.00,4.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00,0.00,2.00,2.00,2.00,0.00,2.00,0.00,2.00,0.00,1.00,2.00,0.00,0.00,4.00,4.00,4.00,4.00,4.00,4.00,2.00,0.00,2.00,4.00,4.00,9.00,11.00,10.00,4.00,23.00,12.00,69.00
3.00,1.00,1.00,1.00,1.00,2.00,3.00,3.00,2.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,4.00,0.00,1.00,3.00,2.00,3.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,9.00,11.00,5.00,0.00,15.00,4.00,44.00
1.00,1.00,1.00,1.00,1.00,1.00,3.00,4.00,2.00,3.00,2.00,3.00,4.00,3.00,0.00,4.00,0.00,2.00,3.00,1.00,2.00,1.00,0.00,3.00,3.00,1.00,1.00,0.00,4.00,3.00,4.00,3.00,4.00,4.00,0.00,4.00,0.00,4.00,0.00,0.00,3.00,0.00,1.00,6.00,17.00,20.00,8.00,26.00,7.00,84.00
1.00,1.00,1.00,1.00,1.00,2.00,5.00,5.00,4.00,5.00,5.00,3.00,4.00,0.00,4.00,4.00,4.00,2.00,4.00,4.00,4.00,4.00,0.00,2.00,2.00,3.00,4.00,4.00,1.00,3.00,0.00,4.00,3.00,4.00,4.00,4.00,0.00,4.00,4.00,2.00,2.00,4.00,4.00,7.00,27.00,34.00,15.00,23.00,16.00,122.00
5.00,4.00,5.00,1.00,3.00,1.00,5.00,5.00,5.00,4.00,4.00,4.00,4.00,3.00,4.00,3.00,4.00,1.00,3.00,3.00,4.00,2.00,0.00,3.00,3.00,2.00,2.00,3.00,4.00,0.00,2.00,4.00,2.00,4.00,0.00,2.00,1.00,4.00,3.00,2.00,3.00,3.00,3.00,19.00,27.00,31.00,13.00,19.00,15.00,124.00
3.00,1.00,1.00,1.00,1.00,1.00,4.00,3.00,3.00,2.00,4.00,3.00,2.00,4.00,2.00,3.00,3.00,2.00,2.00,2.00,2.00,3.00,0.00,2.00,2.00,2.00,2.00,1.00,1.00,2.00,0.00,0.00,4.00,4.00,4.00,4.00,2.00,2.00,3.00,0.00,3.00,0.00,0.00,8.00,19.00,25.00,9.00,21.00,8.00,90.00
4.00,1.00,1.00,1.00,1.00,1.00,4.00,3.00,4.00,4.00,3.00,4.00,2.00,2.00,1.00,2.00,1.00,3.00,3.00,1.00,4.00,3.00,0.00,3.00,2.00,2.00,3.00,3.00,3.00,3.00,4.00,2.00,3.00,4.00,2.00,2.00,1.00,3.00,2.00,1.00,2.00,2.00,2.00,9.00,22.00,22.00,13.00,24.00,10.00,100.00
